?cls	?def	?xrefs
<http://purl.org/spar/fabio/Comment>	"A verbal or written remark concerning some entity. In written form, a comment is often appended to that entity and termed an annotation. Within computer programs or ontologies, comments are added to enhance human understanding, and are usually prefaced by a special syntactic symbol that ensures they are ignored during execution of the program.\n\nhas super-classes"	
<http://purl.obolibrary.org/obo/VIVOTEST_0000000>		
<http://purl.org/ontology/bibo/DocumentStatus>	"The status of a document with respect to its publication."	
<http://vivoweb.org/ontology/core#Consortium>	"A group  of independent organizations working together toward a common goal, under an expressed agreement."	
<http://vivoweb.org/ontology/core#Exhibit>	"The showing of an object or a collection of objects, in an organized manner."	
<http://www.w3.org/2006/vcard/ns#Identification>		
<http://vivoweb.org/ontology/core#Score>	"Written musical composition for voice or instruments or both"	
<http://www.w3.org/2006/vcard/ns#Code>		
<http://purl.obolibrary.org/obo/ARG_2000021>		
<http://purl.obolibrary.org/obo/BFO_0000003>	"An entity that has temporal parts and that happens, unfolds or develops through time."@en	
<http://vivoweb.org/ontology/core#Librarian>	"A person working in a position of librarian or information professional, or academic or technical expert in support of providing information services or materials."	
<http://purl.org/ontology/bibo/Standard>	"A specification giving a precise statement of a process or a service requirement, often sanctioned by a nation or industry"	
<http://vivoweb.org/ontology/core#AwardedDegree>	"The awarding of a degree by an agent to another agent. It is mostly for academic degrees."	
<http://purl.obolibrary.org/obo/ERO_0001258>	"A service offering that describes a service in which the provider actively maintains a material or data resource (e.g. a model organism colony or database) for the service consumer.  This may involved making physical alterations to the material or data with the goal of maintaining its integrity or features."	
<http://vivoweb.org/ontology/core#DateTimeValue>	"A date and/or time"	
<http://vivoweb.org/ontology/core#CoPrincipalInvestigatorRole>	"Role of co-principal investigator of an Agreement (for example, a grant), who devotes a specified percentage of time and is considered key personnel."	
<http://vivoweb.org/ontology/core#AcademicTerm>	"An explicit individual academic term, quarter, or semester rather than the generic fall, spring or summer semester."	
<http://vivoweb.org/ontology/scientific-research#Phase0ClinicalTrial>	"Phase 0 Clinical Trial"	
<http://purl.obolibrary.org/obo/IAO_0000109>	"A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device."@en	
<http://www.w3.org/2006/vcard/ns#Home>		
<http://purl.obolibrary.org/obo/ARG_0000008>		
<http://purl.obolibrary.org/obo/ERO_0000391>	"A service offering that describes a service in which the consumer receives the right to use a resource (instrument, database, software, etc) that is owned or managed by a service provider.  Ownership of the accessed resource remains with the service provider during and after provision of service."	
<http://vivoweb.org/ontology/core#NonFacultyAcademicPosition>	"A position involving academic work but without faculty status"	
<http://purl.obolibrary.org/obo/ERO_0000776>	"A role that inheres in a person who maintains residency in the United states. "	
<http://vivoweb.org/ontology/core#AttendeeRole>	"A role of attending an Event or EventSeries"	
<http://vivoweb.org/ontology/core#CoreLaboratory>	"A lab providing services such as training, protocols, or access to instruments or software"	
<http://vivoweb.org/ontology/core#Publisher>	"A person or company whose business is the publishing of books, periodicals, engravings, computer software, etc."	
<http://www.w3.org/2006/vcard/ns#CalendarLink>		
<http://vivoweb.org/ontology/core#GraduateStudent>	"A person who has already received a bachelor's degree and is working toward a Master's or Doctoral degree."	
<http://purl.org/ontology/bibo/AudioVisualDocument>	"Audiovisual recording in any format"	
<http://vivoweb.org/ontology/core#SeminarSeries>	"An organized series of a meeting for an exchange of ideas, typically put on by a department or center."	
<http://vivoweb.org/ontology/core#Video>	"Audiovisual recording in video format"	
<http://vivoweb.org/ontology/core#Presentation>	"Encompasses talk, speech, lecture, slide lecture, conference presentation"	
<http://purl.obolibrary.org/obo/ARG_2000011>		
<http://vivoweb.org/ontology/core#Meeting>	"A gathering of people for a defined purpose, not necessarily public or announced"	
<http://purl.obolibrary.org/obo/ERO_0000786>	"A student role inhering in a person that is realized when the bearer participates in a course of study at a secondary learning institution."	
<http://www.w3.org/2006/vcard/ns#Contact>		
<http://vivoweb.org/ontology/core#School>	"An institution for instruction in a particular skill or field."	
<http://purl.obolibrary.org/obo/GO_0003674>		
<http://vivoweb.org/ontology/core#InvitedTalk>		
<http://vivoweb.org/ontology/core#Screenplay>	"Written script for a film production, including dialogue and descriptions of gestures, actions, shooting directions"	
<http://vivoweb.org/ontology/core#Country>	"An area of land distinguished by its political autonomy. Politically independent territories."	
<http://www.w3.org/2006/vcard/ns#Colleague>		
<http://purl.org/ontology/bibo/Periodical>		
<http://vivoweb.org/ontology/core#Course>	"A course as taught in one time period by one or more instructors, normally but not always for credit. Does not represent either each meeting of the course or the course offering such as Biology 101 taught every semester from 1980 to 2010"	
