?cls	?pred	?val	?synType
<http://vivoweb.org/ontology/core#Speech>	<http://www.w3.org/2000/01/rdf-schema#label>	"Speech"@en	
<http://vivoweb.org/ontology/core#ConferencePoster>	<http://www.w3.org/2000/01/rdf-schema#label>	"Conference Poster"@en	
<http://vivoweb.org/ontology/core#InvitedTalk>	<http://www.w3.org/2000/01/rdf-schema#label>	"Invited Talk"@en	
<http://vivoweb.org/ontology/core#LeaderRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Leader Role"@en	
<http://vivoweb.org/ontology/core#Award>	<http://www.w3.org/2000/01/rdf-schema#label>	"Award or Honor"@en	
<http://aims.fao.org/aos/geopolitical.owl#area>	<http://www.w3.org/2000/01/rdf-schema#label>	"Area"@en	
<http://purl.obolibrary.org/obo/ERO_0000778>	<http://www.w3.org/2000/01/rdf-schema#label>	"Non-US Citizen"@en	
<http://www.w3.org/2006/vcard/ns#Logo>	<http://www.w3.org/2000/01/rdf-schema#label>	"Logo"@en	
<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"specifically dependent continuant"@en	
<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"Specifically Dependent Continuant"@en	
<http://purl.obolibrary.org/obo/ERO_0000224>	<http://www.w3.org/2000/01/rdf-schema#label>	"Funding Role"@en	
<http://purl.obolibrary.org/obo/IAO_0000032>	<http://www.w3.org/2000/01/rdf-schema#label>	"Scalar Measurement Datum"@en	
<http://www.w3.org/2006/vcard/ns#Emergency>	<http://www.w3.org/2000/01/rdf-schema#label>	"Emergency"@en	
<http://www.w3.org/2006/vcard/ns#Work>	<http://www.w3.org/2000/01/rdf-schema#label>	"Work"@en	
<http://purl.obolibrary.org/obo/GO_0003674>	<http://www.w3.org/2000/01/rdf-schema#label>	"molecular_function"	
<http://purl.obolibrary.org/obo/GO_0003674>	<http://www.w3.org/2000/01/rdf-schema#label>	"gene product or complex activity"@en	
<http://www.w3.org/2006/vcard/ns#Nickname>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nickname"@en	
<http://vivoweb.org/ontology/core#Center>	<http://www.w3.org/2000/01/rdf-schema#label>	"Center"@en	
<http://aims.fao.org/aos/geopolitical.owl#geographical_region>	<http://www.w3.org/2000/01/rdf-schema#label>	"Transnational Region"@en	
